,valeur,ticks,ID
0,0.007795286228787284,OCCUPATION_TYPE_HRstaff,276044
1,-0.007308940722287881,ORGANIZATION_TYPE_BusinessEntityType1,276044
2,-0.0022578687548596133,ORGANIZATION_TYPE_Tradetype1,276044
3,-0.001984076055338569,ORGANIZATION_TYPE_LegalServices,276044
4,0.0013421412309609468,OCCUPATION_TYPE_Secretaries,276044
5,-0.0004609170137626958,NAME_TYPE_SUITE_Groupofpeople,276044
6,-0.00042116685200237555,ORGANIZATION_TYPE_Industrytype13,276044
7,-0.00034068474755385113,ORGANIZATION_TYPE_Industrytype8,276044
8,-0.00021611522026695118,FLAG_DOCUMENT_21,276044
9,-3.0318670760601796e-05,ORGANIZATION_TYPE_Tradetype5,276044
0,0.005186465711267299,NAME_TYPE_SUITE_Other_A,208628
1,-0.00322754969858766,FLAG_DOCUMENT_6,208628
2,-0.0011132314874113026,FLAG_DOCUMENT_17,208628
3,0.000508704121395262,NAME_TYPE_SUITE_Groupofpeople,208628
4,-0.0004108934841223965,ORGANIZATION_TYPE_Industrytype13,208628
5,-0.00038637108254180894,NAME_INCOME_TYPE_Unemployed,208628
6,-0.0003355902242699927,ORGANIZATION_TYPE_Tradetype6,208628
7,-0.00021927751363383065,FLAG_DOCUMENT_20,208628
8,-0.00017407250125768512,FLAG_DOCUMENT_19,208628
9,-2.0142464010997287e-05,NAME_INCOME_TYPE_Maternityleave,208628
0,-0.008015122420379361,OCCUPATION_TYPE_Accountants,119027
1,-0.0027540200967932616,FLAG_DOCUMENT_8,119027
2,-0.001373125438370426,FLAG_DOCUMENT_2,119027
3,0.0003742268024449523,FLAG_DOCUMENT_15,119027
4,-0.0002447353260653845,ORGANIZATION_TYPE_Industrytype5,119027
5,-0.00015692220684797745,ORGANIZATION_TYPE_Industrytype13,119027
6,-0.000152073491975554,NAME_EDUCATION_TYPE_Academicdegree,119027
7,6.400361925104528e-05,OCCUPATION_TYPE_HRstaff,119027
8,5.641598653855814e-05,ORGANIZATION_TYPE_Tradetype5,119027
9,1.5875977330030967e-05,ORGANIZATION_TYPE_Religion,119027
0,-0.023085199428962457,ORGANIZATION_TYPE_Postal,414467
1,-0.005754638211729008,NAME_HOUSING_TYPE_Municipalapartment,414467
2,-0.0008460238228641125,ORGANIZATION_TYPE_Culture,414467
3,0.00046355461115429864,ORGANIZATION_TYPE_Industrytype10,414467
4,-0.0002581506087864096,FLAG_DOCUMENT_15,414467
5,0.0002512075592409226,ORGANIZATION_TYPE_Tradetype5,414467
6,-0.00018973832607749146,ORGANIZATION_TYPE_Religion,414467
7,-0.00018350701410445026,ORGANIZATION_TYPE_Industrytype8,414467
8,-3.5702057612792925e-05,FLAG_DOCUMENT_21,414467
9,-3.492653435589217e-05,FLAG_DOCUMENT_7,414467
0,-0.005117442864083207,ORGANIZATION_TYPE_BusinessEntityType2,332969
1,-0.003696297066313824,FLAG_EMAIL,332969
2,-0.0009986172109834653,ORGANIZATION_TYPE_LegalServices,332969
3,-0.0009598392858488175,OCCUPATION_TYPE_HRstaff,332969
4,-0.0008604526974093899,ORGANIZATION_TYPE_Mobile,332969
5,-0.0005648971453112673,ORGANIZATION_TYPE_Telecom,332969
6,-0.00047244141569475795,ORGANIZATION_TYPE_Cleaning,332969
7,-0.00026937494103684644,FLAG_DOCUMENT_20,332969
8,-7.916875483779202e-05,ORGANIZATION_TYPE_Industrytype13,332969
9,7.606029029790103e-05,FLAG_DOCUMENT_15,332969
0,-0.0005002117106623503,ORGANIZATION_TYPE_Industrytype6,200113
1,-0.0004955828058717485,FLAG_DOCUMENT_21,200113
2,-0.00042827443162289826,FLAG_DOCUMENT_7,200113
3,-0.0004054882477034965,FLAG_DOCUMENT_19,200113
4,-0.0003731256427879959,ORGANIZATION_TYPE_Tradetype5,200113
5,-0.00034616093892789944,NAME_INCOME_TYPE_Maternityleave,200113
6,-0.0003230162893939553,FLAG_DOCUMENT_17,200113
7,-0.0003160532038443052,ORGANIZATION_TYPE_Tradetype4,200113
8,0.0002473717514335134,NAME_EDUCATION_TYPE_Academicdegree,200113
9,-6.147527267273127e-05,ORGANIZATION_TYPE_Industrytype13,200113
0,0.00783258675274196,ORGANIZATION_TYPE_Tradetype5,379027
1,-0.0007140925679250526,NAME_TYPE_SUITE_Groupofpeople,379027
2,-0.00037917604051507134,NAME_INCOME_TYPE_Maternityleave,379027
3,-0.0003632791355026853,ORGANIZATION_TYPE_Industrytype6,379027
4,-0.00027992135375327703,FLAG_DOCUMENT_4,379027
5,-0.00024338637378198212,ORGANIZATION_TYPE_Industrytype13,379027
6,-0.00023820349241666296,ORGANIZATION_TYPE_Cleaning,379027
7,-0.0001757099655893852,ORGANIZATION_TYPE_Tradetype4,379027
8,-0.00016335365443270866,NAME_TYPE_SUITE_Other_A,379027
9,-8.299500274499882e-05,FLAG_DOCUMENT_20,379027
0,-0.0005907222096962193,ORGANIZATION_TYPE_Insurance,159895
1,-0.0005221754492673429,ORGANIZATION_TYPE_Industrytype6,159895
2,-0.00041741107522890093,ORGANIZATION_TYPE_Tradetype4,159895
3,-0.0004062379103561822,NAME_EDUCATION_TYPE_Academicdegree,159895
4,-0.0004015669466309472,NAME_INCOME_TYPE_Unemployed,159895
5,-0.00039135826428306507,ORGANIZATION_TYPE_Tradetype5,159895
6,-0.00032353881075701817,FLAG_DOCUMENT_20,159895
7,-0.0003086583780477525,ORGANIZATION_TYPE_Industrytype10,159895
8,-0.00028063174731632687,FLAG_DOCUMENT_19,159895
9,-1.686859090345289e-05,ORGANIZATION_TYPE_Industrytype13,159895
0,-0.002988436212953234,OCCUPATION_TYPE_Managers,454401
1,0.002520202925923015,ORGANIZATION_TYPE_LegalServices,454401
2,0.0005081238435975869,FLAG_DOCUMENT_2,454401
3,0.0004759629913660737,FLAG_CONT_MOBILE,454401
4,-0.0004562104030982007,FLAG_DOCUMENT_15,454401
5,-0.00035275443830107674,NAME_TYPE_SUITE_Groupofpeople,454401
6,-0.0003234781052272891,FLAG_DOCUMENT_19,454401
7,-0.0002959457805363738,ORGANIZATION_TYPE_Transporttype1,454401
8,0.00012929902630773573,FLAG_DOCUMENT_14,454401
9,-5.958078095630147e-05,NAME_INCOME_TYPE_Unemployed,454401
0,-0.024494992707442466,ORGANIZATION_TYPE_Restaurant,163173
1,-0.010886565090511443,CC_AMT_INST_MIN_REGULARITY_MIN,163173
2,0.002853292397106246,NAME_TYPE_SUITE_Other_A,163173
3,0.0020750794114264464,ORGANIZATION_TYPE_Realtor,163173
4,-0.0016268926268323226,ORGANIZATION_TYPE_Cleaning,163173
5,0.0006131956868649603,FLAG_DOCUMENT_21,163173
6,0.0005438791261468239,NAME_EDUCATION_TYPE_Academicdegree,163173
7,-0.00021182281541612353,ORGANIZATION_TYPE_Industrytype10,163173
8,-0.00019562055395605984,FLAG_DOCUMENT_2,163173
9,-0.00018351062886244482,FLAG_DOCUMENT_20,163173
0,-0.032880965643366636,FLAG_DOCUMENT_16,316629
1,-0.00508709325063132,NONLIVINGAPARTMENTS_MODE,316629
2,-0.005047971407927546,NONLIVINGAPARTMENTS_AVG,316629
3,-0.004387375341879864,NONLIVINGAPARTMENTS_MEDI,316629
4,-0.0041993462876376555,ORGANIZATION_TYPE_Transporttype1,316629
5,-0.0037082488091518084,ORGANIZATION_TYPE_Services,316629
6,-0.0016794863860983954,ORGANIZATION_TYPE_Culture,316629
7,0.00043166783063572486,ORGANIZATION_TYPE_Industrytype10,316629
8,0.00019320320450395834,FLAG_DOCUMENT_19,316629
9,0.00015044051345232054,FLAG_DOCUMENT_15,316629
0,-0.011772330934806821,REG_REGION_NOT_LIVE_REGION,341121
1,-0.011463253584654338,NAME_HOUSING_TYPE_Rentedapartment,341121
2,-0.006829556128781819,ORGANIZATION_TYPE_Construction,341121
3,-0.0045004889841321815,REG_REGION_NOT_WORK_REGION,341121
4,-0.0027156109725279725,ORGANIZATION_TYPE_University,341121
5,0.002134766222665962,FLAG_CONT_MOBILE,341121
6,-0.0018029332978589452,FLAG_DOCUMENT_7,341121
7,0.00031262747862227425,ORGANIZATION_TYPE_Industrytype6,341121
8,2.262491700394309e-05,ORGANIZATION_TYPE_Industrytype13,341121
9,1.769304499516793e-05,NAME_INCOME_TYPE_Businessman,341121
0,-0.005127147530533256,NAME_TYPE_SUITE_Spousepartner,320866
1,0.0029980948804856156,OCCUPATION_TYPE_HRstaff,320866
2,-0.002889564881766512,FLAG_DOCUMENT_6,320866
3,0.0020487792716560598,ORGANIZATION_TYPE_Transporttype3,320866
4,0.001159368166210463,ORGANIZATION_TYPE_Industrytype2,320866
5,0.0010525954179562238,ORGANIZATION_TYPE_Insurance,320866
6,-0.0008075539347996407,ORGANIZATION_TYPE_Realtor,320866
7,0.0007142233728782922,ORGANIZATION_TYPE_LegalServices,320866
8,0.00012150999697659947,ORGANIZATION_TYPE_Industrytype8,320866
9,-2.7776302196571698e-05,ORGANIZATION_TYPE_Industrytype10,320866
0,-0.0032443521891459743,NAME_HOUSING_TYPE_Withparents,116883
1,-0.0027532010544568304,OCCUPATION_TYPE_Drivers,116883
2,-0.0012436898990845573,NAME_INCOME_TYPE_Unemployed,116883
3,-0.000865853025302557,ORGANIZATION_TYPE_Industrytype13,116883
4,-0.00042687608857900147,ORGANIZATION_TYPE_Cleaning,116883
5,-0.0001955354659823242,ORGANIZATION_TYPE_Industrytype6,116883
6,0.00018468040797869588,FLAG_DOCUMENT_20,116883
7,-0.00013718670808786598,FLAG_DOCUMENT_2,116883
8,-0.00010830095921085396,FLAG_DOCUMENT_21,116883
9,1.6774832537742222e-05,ORGANIZATION_TYPE_Transporttype1,116883
0,-0.009026036436599643,OCCUPATION_TYPE_Cookingstaff,142589
1,-0.005789598773836421,NONLIVINGAPARTMENTS_MODE,142589
2,-0.004698526961491537,NONLIVINGAPARTMENTS_MEDI,142589
3,-0.004674690503826621,NONLIVINGAPARTMENTS_AVG,142589
4,-0.0021919623223150826,ORGANIZATION_TYPE_Tradetype1,142589
5,-0.0010060669225801482,ORGANIZATION_TYPE_Mobile,142589
6,-0.0005469439921106409,ORGANIZATION_TYPE_Culture,142589
7,8.336874833656456e-05,ORGANIZATION_TYPE_Tradetype4,142589
8,8.126011219085874e-05,ORGANIZATION_TYPE_Industrytype13,142589
9,3.8137478414196325e-05,NAME_EDUCATION_TYPE_Academicdegree,142589
0,0.0006369905270354092,FLAG_DOCUMENT_14,310542
1,-0.0005491041666337908,ORGANIZATION_TYPE_Cleaning,310542
2,-0.0004613687845804157,FLAG_DOCUMENT_15,310542
3,-0.00045257905754201205,NAME_TYPE_SUITE_Groupofpeople,310542
4,-0.00035764213039759645,NAME_EDUCATION_TYPE_Academicdegree,310542
5,-0.00035486591004766206,ORGANIZATION_TYPE_Tradetype4,310542
6,-0.00035168068589441976,NAME_INCOME_TYPE_Student,310542
7,-0.00032647451688651443,ORGANIZATION_TYPE_Industrytype13,310542
8,-0.00025176095890845163,FLAG_DOCUMENT_2,310542
9,-0.0002068983175104015,ORGANIZATION_TYPE_Industrytype8,310542
0,-0.03898831360117193,NAME_HOUSING_TYPE_Coopapartment,439465
1,-0.009676419336919076,ORGANIZATION_TYPE_Transporttype4,439465
2,-0.005412314891146064,ORGANIZATION_TYPE_Emergency,439465
3,-0.0039227897193945,ORGANIZATION_TYPE_Industrytype5,439465
4,-0.0024366166123203576,NAME_CONTRACT_TYPE,439465
5,-0.0008852627762691961,ORGANIZATION_TYPE_Transporttype1,439465
6,-0.0008741617492252016,ORGANIZATION_TYPE_Religion,439465
7,0.00023609376968856304,ORGANIZATION_TYPE_Culture,439465
8,0.00017177353516895072,FLAG_DOCUMENT_2,439465
9,0.00013846358490075876,FLAG_DOCUMENT_20,439465
0,-0.014515438440111893,CC_AMT_INST_MIN_REGULARITY_MIN,317751
1,-0.005948230898531978,NAME_INCOME_TYPE_Student,317751
2,-0.005055242232938543,CC_CNT_INSTALMENT_MATURE_CUM_VAR,317751
3,-0.0043160605664054165,CC_CNT_INSTALMENT_MATURE_CUM_SUM,317751
4,-0.001787379679715615,ORGANIZATION_TYPE_Tradetype5,317751
5,-0.0010348456488446412,OCCUPATION_TYPE_ITstaff,317751
6,0.000567781759053198,ORGANIZATION_TYPE_Culture,317751
7,0.00031825666212689357,ORGANIZATION_TYPE_Advertising,317751
8,0.00018335964889237708,OCCUPATION_TYPE_Realtyagents,317751
9,1.4547056514286103e-05,FLAG_DOCUMENT_7,317751
0,-0.01009675204809554,ORGANIZATION_TYPE_BusinessEntityType1,152172
1,0.005789771982328215,ORGANIZATION_TYPE_Tradetype1,152172
2,-0.002592679834552097,FLAG_DOCUMENT_15,152172
3,-0.002223200571925995,ORGANIZATION_TYPE_Cleaning,152172
4,-0.0004353565960083301,ORGANIZATION_TYPE_Culture,152172
5,-0.00040276924603338364,ORGANIZATION_TYPE_Tradetype4,152172
6,-0.00031917958426566276,ORGANIZATION_TYPE_Tradetype5,152172
7,-0.00030048342437692357,ORGANIZATION_TYPE_Transporttype1,152172
8,0.00027284217219499305,FLAG_DOCUMENT_21,152172
9,-6.81849717825448e-05,ORGANIZATION_TYPE_Industrytype12,152172
0,-0.009443907467328415,OCCUPATION_TYPE_Cleaningstaff,237074
1,-0.001947750543702455,NAME_TYPE_SUITE_Groupofpeople,237074
2,-0.0003844681555094365,ORGANIZATION_TYPE_Industrytype13,237074
3,-0.0003509396067500653,FLAG_DOCUMENT_21,237074
4,-0.00034007177915763994,FLAG_DOCUMENT_19,237074
5,-0.0003308858056194405,FLAG_DOCUMENT_20,237074
6,-0.000310151529202604,FLAG_DOCUMENT_4,237074
7,-0.00027837446714512707,ORGANIZATION_TYPE_Religion,237074
8,-0.0002749423509170471,FLAG_DOCUMENT_7,237074
9,-0.0002614795438918489,FLAG_DOCUMENT_10,237074
0,-0.007697359138127021,OCCUPATION_TYPE_Highskilltechstaff,175949
1,-0.007635790002784856,ORGANIZATION_TYPE_Construction,175949
2,-0.00621269170311775,NAME_EDUCATION_TYPE_Incompletehigher,175949
3,-0.0034537304539050064,ORGANIZATION_TYPE_Tradetype5,175949
4,0.0030212226215824657,ORGANIZATION_TYPE_Religion,175949
5,-0.0026887863706304806,NAME_INCOME_TYPE_Student,175949
6,-0.002143109982391836,ORGANIZATION_TYPE_LegalServices,175949
7,0.00020674233966531196,NAME_INCOME_TYPE_Unemployed,175949
8,-0.00010608517019461189,FLAG_DOCUMENT_20,175949
9,3.460238343115179e-06,ORGANIZATION_TYPE_Industrytype10,175949
0,-0.023371947069019846,FLAG_DOCUMENT_16,354762
1,-0.0036648541673903663,ORGANIZATION_TYPE_Other,354762
2,-0.002143630159063658,ORGANIZATION_TYPE_Realtor,354762
3,-0.0017181851404811175,WALLSMATERIAL_MODE_Mixed,354762
4,-0.0015551356121857789,ORGANIZATION_TYPE_Tradetype6,354762
5,0.0006844002679496542,FLAG_DOCUMENT_21,354762
6,0.0003160898316517014,ORGANIZATION_TYPE_Cleaning,354762
7,0.00020625920301075142,OCCUPATION_TYPE_ITstaff,354762
8,0.00018447368917608685,FLAG_DOCUMENT_4,354762
9,0.00012027023083932609,ORGANIZATION_TYPE_Industrytype10,354762
0,-0.007416002503614611,OCCUPATION_TYPE_Medicinestaff,453328
1,-0.005386625924356374,ORGANIZATION_TYPE_Medicine,453328
2,-0.004831639475666169,LIVE_REGION_NOT_WORK_REGION,453328
3,-0.003888067709431107,NAME_FAMILY_STATUS_Widow,453328
4,-0.0035894569763451254,REG_REGION_NOT_WORK_REGION,453328
5,0.002493914615093154,NAME_TYPE_SUITE_Groupofpeople,453328
6,-0.0006431362477703875,ORGANIZATION_TYPE_Tradetype6,453328
7,0.0004220353874336273,FLAG_DOCUMENT_21,453328
8,0.00025414705990336783,ORGANIZATION_TYPE_Industrytype6,453328
9,0.00015295700192136737,FLAG_DOCUMENT_19,453328
0,-0.006290671054331288,OCCUPATION_TYPE_Securitystaff,158284
1,-0.005941204253920065,NAME_EDUCATION_TYPE_Incompletehigher,158284
2,-0.004707903735363878,LIVE_REGION_NOT_WORK_REGION,158284
3,-0.00428566866627762,REG_REGION_NOT_WORK_REGION,158284
4,0.0035120421979231145,ORGANIZATION_TYPE_Industrytype5,158284
5,-0.001989498920419,ORGANIZATION_TYPE_Industrytype10,158284
6,-0.0019406442757231403,NAME_INCOME_TYPE_Maternityleave,158284
7,0.00013446399464895625,FLAG_DOCUMENT_2,158284
8,0.00010256342774745719,FLAG_DOCUMENT_21,158284
9,6.044693814523953e-05,FLAG_DOCUMENT_20,158284
0,-0.005163279386948095,FONDKAPREMONT_MODE_regoperspecaccount,410086
1,-0.003256407684047014,NAME_HOUSING_TYPE_Withparents,410086
2,-0.0024276470361951274,COMMONAREA_MODE,410086
3,-0.002391991259722488,COMMONAREA_AVG,410086
4,-0.0017179192947340885,FLAG_DOCUMENT_15,410086
5,-0.0014105321678299478,ORGANIZATION_TYPE_Industrytype10,410086
6,-0.0011687313587391782,FLAG_DOCUMENT_21,410086
7,-0.0011121180599813097,ORGANIZATION_TYPE_Tradetype5,410086
8,-0.0010031740420231704,FLAG_DOCUMENT_19,410086
9,0.00024177596584658978,ORGANIZATION_TYPE_Religion,410086
0,-0.014559851885888426,NAME_EDUCATION_TYPE_Lowersecondary,146783
1,-0.003485957746498333,ORGANIZATION_TYPE_Other,146783
2,0.0018380902042388196,ORGANIZATION_TYPE_LegalServices,146783
3,-0.0018222001143143333,ORGANIZATION_TYPE_Emergency,146783
4,0.000988876328682413,OCCUPATION_TYPE_ITstaff,146783
5,0.0004152690834009324,ORGANIZATION_TYPE_Culture,146783
6,0.00026491698839346193,ORGANIZATION_TYPE_Industrytype8,146783
7,-0.00020583355447985303,ORGANIZATION_TYPE_Industrytype13,146783
8,-0.0001734110802194221,ORGANIZATION_TYPE_Industrytype5,146783
9,-0.0001599499146040785,ORGANIZATION_TYPE_Industrytype6,146783
0,-0.016811546903531167,NAME_EDUCATION_TYPE_Lowersecondary,368502
1,-0.0026306576214805717,FLAG_DOCUMENT_6,368502
2,0.0025708730540491566,NAME_TYPE_SUITE_Groupofpeople,368502
3,-0.0008260924788643216,ORGANIZATION_TYPE_Culture,368502
4,0.0007724887195255443,ORGANIZATION_TYPE_Realtor,368502
5,0.0006504269570132091,ORGANIZATION_TYPE_Tradetype6,368502
6,0.0004280457486805474,FLAG_DOCUMENT_15,368502
7,-0.00019383230282156463,NAME_INCOME_TYPE_Maternityleave,368502
8,-6.501958887496264e-05,ORGANIZATION_TYPE_Industrytype6,368502
9,6.44498724230728e-05,ORGANIZATION_TYPE_Mobile,368502
0,-0.002002807214798143,EXT_SOURCE_1,334179
1,-0.000816768623946417,ORGANIZATION_TYPE_Industrytype13,334179
2,-0.000497467373464518,FLAG_DOCUMENT_9,334179
3,-0.0004900924844812843,FLAG_CONT_MOBILE,334179
4,-0.00024249914793311557,ORGANIZATION_TYPE_Realtor,334179
5,-0.00022882175975875134,ORGANIZATION_TYPE_Mobile,334179
6,-0.000225598243323726,OCCUPATION_TYPE_ITstaff,334179
7,-0.00022268612273147439,NAME_INCOME_TYPE_Maternityleave,334179
8,-0.0001441975588289293,FLAG_DOCUMENT_14,334179
9,-8.810693886239676e-05,FLAG_DOCUMENT_15,334179
0,-0.0035007860252489744,NAME_FAMILY_STATUS_Separated,120032
1,-0.0021728328615346943,ORGANIZATION_TYPE_Religion,120032
2,-0.0018043638467418303,EXT_SOURCE_2,120032
3,-0.0015861785572406932,WEEKDAY_APPR_PROCESS_START_SATURDAY,120032
4,-0.0011603809513466275,ORGANIZATION_TYPE_LegalServices,120032
5,-0.0010471280636933688,ORGANIZATION_TYPE_Cleaning,120032
6,-0.0010236957347792262,FLAG_DOCUMENT_14,120032
7,5.793257112116595e-05,ORGANIZATION_TYPE_Industrytype10,120032
8,4.760887404156885e-05,ORGANIZATION_TYPE_Industrytype8,120032
9,-2.1895698216678654e-06,FLAG_DOCUMENT_7,120032
0,-0.0005728288822022109,ORGANIZATION_TYPE_Cleaning,236347
1,-0.00046831010282006056,FLAG_DOCUMENT_7,236347
2,-0.0004575761106456053,ORGANIZATION_TYPE_Transporttype1,236347
3,-0.00030184574643799325,NAME_INCOME_TYPE_Unemployed,236347
4,-0.0002456158411546991,ORGANIZATION_TYPE_Religion,236347
5,-0.00021507714896345123,FLAG_DOCUMENT_19,236347
6,-0.00016731730667968314,FLAG_DOCUMENT_15,236347
7,-0.0001283287077491293,ORGANIZATION_TYPE_Industrytype6,236347
8,-7.82195344421875e-05,FLAG_DOCUMENT_13,236347
9,-1.8530451037773493e-05,FLAG_DOCUMENT_21,236347
0,0.002448828299671977,NAME_INCOME_TYPE_Unemployed,116066
1,-0.0018157160500605865,EXT_SOURCE_3,116066
2,0.0015415350380659546,ORGANIZATION_TYPE_University,116066
3,-0.0007244837705818446,ORGANIZATION_TYPE_Industrytype5,116066
4,-0.0007026367335779237,ORGANIZATION_TYPE_Industrytype10,116066
5,-0.0005253863716458631,ORGANIZATION_TYPE_LegalServices,116066
6,-0.00037241178560673766,ORGANIZATION_TYPE_Transporttype1,116066
7,-0.00021366545423233228,NAME_INCOME_TYPE_Maternityleave,116066
8,-0.00014008732017615436,FLAG_DOCUMENT_12,116066
9,7.845134837981387e-05,ORGANIZATION_TYPE_Tradetype5,116066
0,-0.021690320326199615,ORGANIZATION_TYPE_Military,105820
1,-0.0009075903958930049,OCCUPATION_TYPE_ITstaff,105820
2,-0.00035758716911530274,WALLSMATERIAL_MODE_Mixed,105820
3,-0.00033222217494491605,ORGANIZATION_TYPE_Industrytype8,105820
4,-0.0002954941398362338,ORGANIZATION_TYPE_Industrytype2,105820
5,-0.00027728623877365646,FLAG_DOCUMENT_17,105820
6,0.00018665493303618758,FLAG_DOCUMENT_2,105820
7,0.00017242394673989956,ORGANIZATION_TYPE_Religion,105820
