,valeur,ticks
256322,0.0004102156728756245,FLAG_DOCUMENT_7  : 0.0004
256322,-0.0005698264378410686,FLAG_DOCUMENT_20  : -0.0006
256322,0.000678672515810442,ORGANIZATION_TYPE  : 0.0007
256322,0.0007326324683897426,ORGANIZATION_TYPE  : 0.0007
256322,0.0008703842807713756,FLAG_CONT  : 0.0009
256322,-0.0038927686853490683,CC_CNT_INSTALMENT_MATURE_CUM  : -0.0039
256322,-0.005916472506314556,CC_SK_DPD  : -0.0059
256322,-0.010358886184651266,CC_AMT_INST_REGULARITY  : -0.0104
256322,-0.017362304343315663,CC_SK_DPD  : -0.0174
256322,-0.020650036815318903,CC_SK_DPD  : -0.0207
165305,-9.996018751083844e-05,FLAG_DOCUMENT_17  : -0.0001
165305,-0.00010498971798045874,NAME_INCOME_TYPE  : -0.0001
165305,-0.00014447957749903293,ORGANIZATION_TYPE  : -0.0001
165305,-0.00016131511244386643,FLAG_DOCUMENT_21  : -0.0002
165305,-0.00016880878616929254,ORGANIZATION_TYPE  : -0.0002
165305,-0.00019465791416173043,FLAG_CONT  : -0.0002
165305,-0.00019701846747916367,ORGANIZATION_TYPE  : -0.0002
165305,-0.0002017136743347059,NAME_TYPE_SUITE  : -0.0002
165305,-0.00020583697367886332,FLAG_DOCUMENT_14  : -0.0002
165305,-0.00021650892305763342,HOUSETYPE_MODE  : -0.0002
357676,-8.27339411177545e-06,ORGANIZATION_TYPE  : -0.0
357676,-9.1167860767089e-06,FLAG_DOCUMENT_21  : -0.0
357676,-9.98051268421286e-06,NAME_EDUCATION_TYPE  : -0.0
357676,-1.013209866291885e-05,ORGANIZATION_TYPE  : -0.0
357676,-1.037072869576327e-05,ORGANIZATION_TYPE  : -0.0
357676,-1.3329550939810269e-05,ORGANIZATION_TYPE  : -0.0
357676,2.7601818832053095e-05,FLAG_DOCUMENT_7  : 0.0
357676,0.0001955177797632979,ORGANIZATION_TYPE  : 0.0002
357676,-0.00046709066543988416,ORGANIZATION_TYPE  : -0.0005
357676,-0.002848081729140145,FLAG_DOCUMENT_6  : -0.0028
341288,0.00017982529964626268,ORGANIZATION_TYPE  : 0.0002
341288,0.00018667260382904683,FLAG_DOCUMENT_2  : 0.0002
341288,0.0002501082217542384,FLAG_DOCUMENT_21  : 0.0003
341288,0.00025361847804550904,ORGANIZATION_TYPE  : 0.0003
341288,-0.00185532073107998,ORGANIZATION_TYPE  : -0.0019
341288,-0.0027421073255680436,FLAG_DOCUMENT_17  : -0.0027
341288,-0.004680747463742831,CC_SK_DPD  : -0.0047
341288,-0.004940043945654253,NAME_TYPE_SUITE_A  : -0.0049
341288,-0.008315548847203069,OCCUPATION_TYPE  : -0.0083
341288,-0.028181650561800435,ORGANIZATION_TYPE  : -0.0282
342485,0.0002970780538364969,NAME_EDUCATION_TYPE  : 0.0003
342485,0.0002997004319245152,ORGANIZATION_TYPE  : 0.0003
342485,0.0006049435060347533,FLAG_DOCUMENT_14  : 0.0006
342485,-0.0010018428120691482,ORGANIZATION_TYPE  : -0.001
342485,-0.002880835183295101,NAME_TYPE_SUITE_A  : -0.0029
342485,-0.004211032684238283,REG_REGIONT_WORK_REGION  : -0.0042
342485,-0.004348002976485641,ORGANIZATION_TYPE  : -0.0043
342485,-0.005220222428893841,FONDKAPREMONT_MODE  : -0.0052
342485,-0.005394707412826929,LIVE_REGIONT_WORK_REGION  : -0.0054
342485,-0.03497355734604128,OCCUPATION_TYPE  : -0.035
440014,-4.448828448687835e-05,FLAG_DOCUMENT_7  : -0.0
440014,-4.4540792427390427e-05,FLAG_DOCUMENT_21  : -0.0
440014,-4.6920959377722764e-05,ORGANIZATION_TYPE  : -0.0
440014,-6.260781189882403e-05,ORGANIZATION_TYPE  : -0.0001
440014,-6.328819235500959e-05,FLAG_DOCUMENT_2  : -0.0001
440014,-7.192951204800026e-05,ORGANIZATION_TYPE  : -0.0001
440014,-0.0015853368482928686,NAME_TYPE_SUITE  : -0.0016
440014,-0.002191386477781092,NAME_TYPE  : -0.0022
440014,-0.002599591904661356,WALLSMATERIAL_MODE  : -0.0026
440014,-0.10540690127705733,OCCUPATION_TYPE  : -0.1054
122489,0.00020999670716344035,FLAG_DOCUMENT_7  : 0.0002
122489,0.00021088211619521067,ORGANIZATION_TYPE  : 0.0002
122489,0.00021114331883589983,ORGANIZATION_TYPE  : 0.0002
122489,0.0002143434952782263,ORGANIZATION_TYPE  : 0.0002
122489,0.0002937433399462133,FLAG_DOCUMENT_19  : 0.0003
122489,0.0003403291771772023,FLAG_DOCUMENT_15  : 0.0003
122489,-0.0019408561775971739,ORGANIZATION_TYPE  : -0.0019
122489,-0.004826248647464215,NONLIVINGAPARTMENTS_AVG  : -0.0048
122489,-0.004829121149488631,NONLIVINGAPARTMENTS_MEDI  : -0.0048
122489,-0.005933553759633233,NONLIVINGAPARTMENTS_MODE  : -0.0059
189233,1.892012286026598e-05,ORGANIZATION_TYPE  : 0.0
189233,2.874415614531563e-05,FLAG_DOCUMENT_19  : 0.0
189233,0.000986256170770357,FLAG_DOCUMENT_20  : 0.001
189233,-0.0017947913894360002,ORGANIZATION_TYPE  : -0.0018
189233,-0.0021151322893156544,CC_CNT_DRAWINGS_CURRENT_VAR  : -0.0021
189233,-0.0024931319980069522,NAME_CONTRACT_TYPE  : -0.0025
189233,-0.003575741889059586,ORGANIZATION_TYPE  : -0.0036
189233,-0.00900974346261496,OCCUPATION_TYPE  : -0.009
189233,-0.021053783799383125,ORGANIZATION_TYPE  : -0.0211
189233,-0.14106046932599778,ORGANIZATION_TYPE  : -0.1411
322889,9.25127394421699e-05,NAME_INCOME_TYPE  : 0.0001
322889,0.00012866085692459569,ORGANIZATION_TYPE  : 0.0001
322889,0.00014108969573615058,ORGANIZATION_TYPE  : 0.0001
322889,0.00015195672533894222,FLAG_CONT  : 0.0002
322889,0.00016850565848758702,ORGANIZATION_TYPE  : 0.0002
322889,-0.0005633338512428602,FLAG_DOCUMENT_17  : -0.0006
322889,-0.0008401229247816242,NAME_TYPE_SUITE  : -0.0008
322889,-0.0009378813073985009,ORGANIZATION_TYPE  : -0.0009
322889,-0.0014291217355584178,NAME_INCOME_TYPE  : -0.0014
322889,-0.005045535591709361,NAME_FAMILY_STATUS  : -0.005
281784,-6.689418898760119e-06,NAME_TYPE_SUITE  : -0.0
281784,-7.298548156020951e-06,ORGANIZATION_TYPE  : -0.0
281784,-7.843763143635214e-06,ORGANIZATION_TYPE  : -0.0
281784,-9.95929646830662e-06,FLAG_DOCUMENT_2  : -0.0
281784,-1.1141287609645168e-05,FLAG_DOCUMENT_21  : -0.0
281784,-1.1910589664313794e-05,ORGANIZATION_TYPE  : -0.0
281784,-1.3047734262061118e-05,FLAG_DOCUMENT_15  : -0.0
281784,-9.998633618896073e-05,ORGANIZATION_TYPE  : -0.0001
281784,-0.0009327312254633288,FLAG_DOCUMENT_19  : -0.0009
281784,-0.0029013183958755276,FLAG_DOCUMENT_6  : -0.0029
397406,-2.359915466900437e-06,OCCUPATION_TYPE  : -0.0
397406,-2.8841459072387767e-06,ORGANIZATION_TYPE  : -0.0
397406,-5.1419234764930205e-06,FLAG_DOCUMENT_4  : -0.0
397406,-8.260392249634477e-06,FLAG_DOCUMENT_20  : -0.0
397406,-1.038260926265775e-05,ORGANIZATION_TYPE  : -0.0
397406,-1.056283284166466e-05,ORGANIZATION_TYPE  : -0.0
397406,-1.3035268920685304e-05,ORGANIZATION_TYPE  : -0.0
397406,3.6099146278518955e-05,FLAG_DOCUMENT_21  : 0.0
397406,-0.0013304066562192841,ORGANIZATION_TYPE  : -0.0013
397406,-0.002898824524138911,FLAG_DOCUMENT_6  : -0.0029
195652,0.00011860958529331268,NAME_EDUCATION_TYPE  : 0.0001
195652,0.00025551782309398774,ORGANIZATION_TYPE  : 0.0003
195652,-0.0003847224641140659,NAME_TYPE_SUITE  : -0.0004
195652,-0.000411155693621878,ORGANIZATION_TYPE  : -0.0004
195652,-0.00043609694644634623,ORGANIZATION_TYPE  : -0.0004
195652,-0.0005231697422363995,ORGANIZATION_TYPE  : -0.0005
195652,-0.0005237761060408967,NAME_INCOME_TYPE  : -0.0005
195652,-0.001052868112448805,FLAG_DOCUMENT_20  : -0.0011
195652,-0.0020737427870136118,NAME_FAMILY_STATUS  : -0.0021
195652,-0.0024709637077426684,NAME_CONTRACT_TYPE  : -0.0025
349856,-4.37774499965233e-05,FLAG_DOCUMENT_20  : -0.0
349856,-0.00010326878333860019,FLAG_DOCUMENT_21  : -0.0001
349856,-0.0001090836190725375,NAME_EDUCATION_TYPE  : -0.0001
